City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
168,Quatre Cocos,-20.2078,57.7625,68.11,75,80,11.12,MU,broken clouds
169,Esperance,-33.8667,121.9,64.83,57,23,19.3,AU,few clouds
170,Teguise,29.0605,-13.564,70.02,73,0,10.36,ES,clear sky
171,Tera,14.0078,0.7531,86.92,56,7,10.22,NE,clear sky
172,Ixtapa,20.7,-105.2,76.41,93,52,1.03,MX,broken clouds
173,Mount Gambier,-37.8333,140.7667,52.21,98,100,11.03,AU,overcast clouds
174,Portland,45.5234,-122.6762,71.94,70,40,3.44,US,scattered clouds
175,Zeya,53.75,127.2667,36.95,40,22,9.22,RU,few clouds
176,Carnarvon,-24.8667,113.6333,69.84,68,48,11.27,AU,scattered clouds
177,Aklavik,68.2191,-135.0107,31.41,92,6,10.58,CA,clear sky
178,Port Elizabeth,-33.918,25.5701,59.31,89,40,4.61,ZA,scattered clouds
179,Puerto Ayora,-0.7393,-90.3518,66.54,94,27,5.99,EC,scattered clouds
180,Tuatapere,-46.1333,167.6833,37.49,81,100,20.98,NZ,overcast clouds
181,Mirnyy,62.5353,113.9611,26.24,79,100,15.99,RU,overcast clouds
182,Fortuna,40.5982,-124.1573,65.91,72,50,1.01,US,scattered clouds
183,College,64.8569,-147.8028,57.18,40,75,10.36,US,broken clouds
184,Caravelas,-17.7125,-39.2481,75.58,77,96,11.79,BR,overcast clouds
185,Ballina,-28.8667,153.5667,70.02,62,100,8.7,AU,overcast clouds
186,Yulara,-25.2406,130.9889,72.46,37,0,4.54,AU,clear sky
187,Rantepao,-2.9701,119.8978,76.35,78,100,1.52,ID,overcast clouds
188,Pangnirtung,66.1451,-65.7125,34.07,68,100,5.93,CA,overcast clouds
189,Nanortalik,60.1432,-45.2371,38.77,95,100,19.06,GL,moderate rain
190,Mahebourg,-20.4081,57.7,68.29,83,40,4.61,MU,scattered clouds
191,Lima Duarte,-21.8425,-43.7931,62.47,96,96,2.04,BR,overcast clouds
192,Pacific Grove,36.6177,-121.9166,76.01,88,100,11.99,US,overcast clouds
193,Khani,41.9563,42.9566,53.17,84,100,2.98,GE,overcast clouds
194,Kulaman,6.4594,124.0892,85.89,64,44,1.41,PH,scattered clouds
195,Ibotirama,-12.1853,-43.2206,86.43,36,100,8.3,BR,overcast clouds
196,Mogadishu,2.0371,45.3438,76.86,86,42,9.55,SO,scattered clouds
197,Nioro,13.35,-15.75,77.34,93,83,6.49,GM,light rain
198,Tasiilaq,65.6145,-37.6368,20.98,66,5,7.67,GL,clear sky
199,Chapais,49.7834,-74.8492,49.78,99,100,3.02,CA,overcast clouds
200,Seoul,37.5683,126.9778,61.99,68,40,4.61,KR,scattered clouds
201,Andenes,69.3143,16.1194,49.98,76,40,19.57,NO,scattered clouds
202,Kupang,-10.1667,123.5833,84.76,70,42,5.1,ID,scattered clouds
203,Namibe,-15.1961,12.1522,64.22,90,48,4.47,AO,scattered clouds
204,Benghazi,32.1167,20.0667,74.68,65,0,14.54,LY,clear sky
205,Castro,-24.7911,-50.0119,55.83,95,5,5.37,BR,clear sky
206,San Ignacio,17.1561,-89.0714,86.14,66,20,4.61,BZ,few clouds
207,Cihuatlan,19.2366,-104.5651,77.43,88,37,2.91,MX,scattered clouds
208,Labuhan,-6.8844,112.2051,81.5,71,100,12.46,ID,overcast clouds
209,Port Augusta,-32.5,137.7667,74.35,47,0,10.02,AU,clear sky
210,Port-Gentil,-0.7193,8.7815,77.2,81,37,7.99,GA,scattered clouds
211,Airai,-8.9266,125.4092,71.04,69,78,2.21,TL,broken clouds
